industry,total_funding,country,region,city,funding_rounds,company_age
14958,-0.07645897305534498,122,788,3379,0.7926731609870624,-0.31460885031695585
14980,-0.07353274363190813,82,568,1960,0.10539657560366476,-0.21757006711895227
23072,-0.07645897305534498,122,788,3379,-0.5818800097797329,-0.508686416712963
11568,0.12668902822417885,122,788,1149,0.10539657560366476,-0.12053128392094872
22888,-0.06199326860555658,122,994,4215,0.10539657560366476,-0.12053128392094872
23072,0.06521003156508624,122,539,558,0.7926731609870624,0.07354628247505839
7337,-0.015211933997817482,39,127,482,-0.5818800097797329,0.5587401984650762
22151,-0.07645897305534498,122,645,1054,-0.5818800097797329,-0.31460885031695585
7537,-0.08701732339969787,2,136,525,-0.5818800097797329,-0.508686416712963
23072,-0.0856808233561089,122,605,880,-0.5818800097797329,-0.4116476335149594
16287,-0.07645897305534498,104,843,3558,-0.5818800097797329,-0.508686416712963
16041,-0.08554717335175,122,788,3379,0.10539657560366476,-0.508686416712963
23072,-0.08474529470959731,122,324,421,-0.5818800097797329,-0.21757006711895227
22888,0.09133024092697781,122,234,932,2.1672263317538576,0.36466263206906907
20666,-0.08714028140370805,122,908,2816,-0.5818800097797329,-0.70276398310897
22613,0.36672444139875876,122,983,1219,0.7926731609870624,5.410679358365254
21378,-0.0851462233386733,122,738,3054,-0.5818800097797329,-0.6057251999109665
7505,-0.08049471135496764,122,734,2996,0.7926731609870624,0.17058506567306195
7834,-0.07111297288098908,122,663,2181,0.7926731609870624,-0.4116476335149594
19362,0.04008524208965957,122,827,3482,2.854502917137255,0.17058506567306195
13654,-0.07645897305534498,122,539,3430,-0.5818800097797329,-0.6057251999109665
18726,-0.08657895138540068,122,788,3379,2.854502917137255,-0.508686416712963
9109,-0.08567046280777099,44,46,161,0.10539657560366476,-0.6057251999109665
12732,-0.07645897305534498,122,816,1432,-0.5818800097797329,0.4617014152670726
16096,-0.0858144733604678,122,702,1167,-0.5818800097797329,-0.02349250072294517
10268,0.15609203452913645,122,788,3382,1.4799497463704598,-0.31460885031695585
19559,-0.07915870314339471,122,48,918,0.10539657560366476,-0.31460885031695585
18562,-0.08688367339533898,122,983,4107,-0.5818800097797329,-0.508686416712963
23008,-0.08634907337790339,122,734,2996,-0.5818800097797329,-0.21757006711895227
19158,-0.07448497318296442,39,541,2198,0.10539657560366476,0.5587401984650762
17871,-0.07645897305534498,18,930,2461,-0.5818800097797329,-0.31460885031695585
23072,-0.07645897305534498,61,927,3880,-0.5818800097797329,0.17058506567306195
99,-0.08584120336133957,50,135,520,-0.5818800097797329,-0.02349250072294517
7337,-0.08251232924277077,28,227,998,-0.5818800097797329,-0.21757006711895227
10000,0.634559050133989,122,827,287,-0.5818800097797329,0.17058506567306195
21492,-0.05758759243986867,38,716,430,-0.5818800097797329,-0.21757006711895227
23072,-0.08629026737598547,122,730,3834,-0.5818800097797329,1.043934114455094
1334,-0.08180497322970087,122,539,2196,-0.5818800097797329,-0.508686416712963
7451,-0.08300782326893096,122,908,3803,0.10539657560366476,0.5587401984650762
7337,0.3153488077011799,122,663,2655,0.10539657560366476,0.5587401984650762
5142,-0.08447797331687881,38,716,2909,0.10539657560366476,-0.508686416712963
21566,-0.033690971660497816,122,788,2546,0.10539657560366476,0.8498565480590868
17695,-0.08714399687382923,122,539,2196,-0.5818800097797329,-0.4116476335149594
10761,0.04115303078048472,122,244,988,0.10539657560366476,-0.4116476335149594
10268,-0.07143597286552349,122,114,421,1.4799497463704598,-0.02349250072294517
21566,-0.08707078340144143,122,671,2704,-0.5818800097797329,-0.4116476335149594
18075,0.07857503200097599,101,623,2531,0.10539657560366476,-0.21757006711895227
16027,0.04115303078048472,21,79,272,-0.5818800097797329,1.432089247247108
23286,-0.07645897305534498,15,820,3781,-0.5818800097797329,-0.6057251999109665
19559,-0.06042097253227729,122,788,3379,-0.5818800097797329,0.17058506567306195
10974,0.21382883641218012,122,788,1325,0.10539657560366476,0.7528177648610833
18289,-0.08608177336918559,122,788,3379,-0.5818800097797329,-0.508686416712963
610,-0.07645897305534498,122,234,987,-0.5818800097797329,-0.6057251999109665
21828,0.05965019138375612,1,258,1041,0.10539657560366476,2.0143219464351296
8159,-0.07882560456453094,39,127,482,0.10539657560366476,-0.508686416712963
13392,-0.07645897305534498,122,788,3379,-0.5818800097797329,0.17058506567306195
7512,0.625548821250127,39,701,2868,1.4799497463704598,0.17058506567306195
21566,-0.07645897305534498,21,147,3117,-0.5818800097797329,0.17058506567306195
13508,-0.0753897730204738,38,716,2909,0.10539657560366476,-0.4116476335149594
10871,-0.07365232296380814,122,663,2655,0.7926731609870624,-0.21757006711895227
14958,-0.08693713339708253,122,788,3379,-0.5818800097797329,-0.4116476335149594
18726,-0.0497289721835655,122,788,3379,0.10539657560366476,0.6557789816630797
21285,0.20687903618551748,122,983,4107,0.10539657560366476,0.7528177648610833
502,-0.07645897305534498,122,299,3249,-0.5818800097797329,-0.21757006711895227
23072,-0.08127037321226528,122,788,3379,-0.5818800097797329,0.07354628247505839
14958,-0.08704405340056964,76,616,2495,-0.5818800097797329,-0.4116476335149594
17235,-0.06953590282955409,122,601,2405,2.854502917137255,-0.4116476335149594
19736,-0.08661637338662118,122,309,1285,-0.5818800097797329,-0.21757006711895227
9202,-0.08367607329072543,20,819,3435,-0.5818800097797329,-0.6057251999109665
21890,-0.08533333334477576,122,143,2212,1.4799497463704598,-0.4116476335149594
917,-0.06790537277637554,18,930,3893,0.10539657560366476,-0.31460885031695585
7884,-0.07645897305534498,122,247,995,-0.5818800097797329,-0.4116476335149594
19331,-0.05350958866286755,21,838,3522,0.10539657560366476,0.9468953312570904
23072,-0.08693713339708253,2,136,525,-0.5818800097797329,-0.31460885031695585
22843,-0.08127037321226528,50,135,520,0.7926731609870624,0.07354628247505839
18075,-0.04705597209638755,122,788,3379,0.10539657560366476,0.07354628247505839
22851,-0.07645897305534498,122,788,3392,-0.5818800097797329,-0.31460885031695585
14281,-0.07378597296816702,52,411,1725,0.10539657560366476,-0.6057251999109665
19331,-0.062495220599927376,122,983,2362,0.10539657560366476,-0.31460885031695585
22233,-0.08180497322970087,19,1024,4360,-0.5818800097797329,-0.508686416712963
18577,-0.0858144733604678,122,143,2870,-0.5818800097797329,-0.508686416712963
18075,0.03485727625315328,39,537,2178,0.7926731609870624,0.07354628247505839
706,0.10605347289716528,122,788,3379,2.1672263317538576,0.4617014152670726
12732,-0.02834497148614192,122,788,2895,0.10539657560366476,0.17058506567306195
6661,-0.07645897305534498,122,645,3596,-0.5818800097797329,-0.70276398310897
8738,-0.08689750349779003,64,831,3495,-0.5818800097797329,-0.6057251999109665
23072,-0.07645897305534498,122,663,2655,-0.5818800097797329,-0.31460885031695585
9223,-0.05794577445155051,122,114,570,0.7926731609870624,-0.21757006711895227
4800,-0.07645897305534498,122,788,3745,-0.5818800097797329,-0.6057251999109665
3741,-0.07645897305534498,85,781,3285,-0.5818800097797329,1.043934114455094
17632,-0.0853172953442527,122,331,1341,0.10539657560366476,-0.4116476335149594
19455,0.07322902113461975,122,788,3423,-0.5818800097797329,0.6557789816630797
7337,-0.06042097253227729,122,908,3803,-0.5818800097797329,-0.4116476335149594
7337,-0.07278840933563221,5,971,1383,-0.5818800097797329,0.07354628247505839
22771,-0.07645897305534498,39,982,4106,-0.5818800097797329,0.4617014152670726
8937,-0.08709751340231321,122,48,164,-0.5818800097797329,0.07354628247505839
7337,0.046613991342589964,19,1024,4360,0.7926731609870624,-0.12053128392094872
10316,-0.021395171259479255,38,716,2909,0.10539657560366476,0.17058506567306195
22418,-0.055074972357921394,122,1005,4178,-0.5818800097797329,-0.4116476335149594
9178,0.09084207626705668,28,627,2556,0.7926731609870624,-0.31460885031695585
14958,-0.07645897305534498,90,507,2003,-0.5818800097797329,-0.508686416712963
4649,-0.0841037533046739,122,788,3379,0.7926731609870624,-0.4116476335149594
23072,-0.08661637338662118,122,788,3379,-0.5818800097797329,-0.70276398310897
11415,-0.08648272338226227,122,788,3379,-0.5818800097797329,-0.508686416712963
23245,-0.0856808233561089,101,623,2531,0.10539657560366476,-0.4116476335149594
14958,-0.07645897305534498,122,321,1287,-0.5818800097797329,0.5587401984650762
22865,-0.055074972357921394,56,915,3138,-0.5818800097797329,0.36466263206906907
23072,1.249349070184917,122,788,3379,-0.5818800097797329,0.36466263206906907
19516,-0.07378597296816702,122,177,1762,0.10539657560366476,-0.4116476335149594
22888,-0.07645897305534498,5,971,4036,-0.5818800097797329,0.4617014152670726
9223,-0.08688367339533898,92,525,2126,-0.5818800097797329,-0.4116476335149594
21566,0.7575170541441747,18,633,4277,0.10539657560366476,0.36466263206906907
4017,-0.07645897305534498,39,537,2178,-0.5818800097797329,0.4617014152670726
9229,0.5543690475186507,52,626,2554,0.10539657560366476,-0.31460885031695585
7967,-0.078757753130318,122,539,2196,0.7926731609870624,-0.508686416712963
22434,-0.08707991436973923,56,788,3379,-0.5818800097797329,0.2676238488710655
7584,-0.08461405575131704,39,537,2178,0.10539657560366476,-0.508686416712963
19559,-0.08696386339795431,122,765,3192,-0.5818800097797329,1.043934114455094
17181,0.20206764672059752,122,114,537,2.1672263317538576,0.36466263206906907
7150,-0.07860252498999823,18,930,3893,-0.5818800097797329,-0.508686416712963
23072,-0.07645897305534498,122,428,1751,-0.5818800097797329,-0.02349250072294517
9128,-0.07645897305534498,122,651,3250,-0.5818800097797329,-0.02349250072294517
23055,-0.08671260138975959,122,788,3379,-0.5818800097797329,-0.508686416712963
19331,-0.06389587264560863,122,244,426,0.10539657560366476,-0.21757006711895227
17814,-0.0858144733604678,122,194,1652,-0.5818800097797329,-0.4116476335149594
11803,-0.0867232933901083,122,730,680,-0.5818800097797329,-0.6057251999109665
9930,0.04649903095484061,122,805,2082,-0.5818800097797329,0.8498565480590868
14958,-0.0828202107388121,52,660,2636,0.10539657560366476,-0.31460885031695585
23072,-0.0810755756579121,39,537,2178,-0.5818800097797329,-0.4116476335149594
13687,-0.07645897305534498,122,788,3379,-0.5818800097797329,-0.508686416712963
22213,-0.08695049839751842,122,663,2655,0.10539657560366476,-0.4116476335149594
16808,-0.07645897305534498,122,539,1354,-0.5818800097797329,-0.31460885031695585
16293,-0.08183886008590956,122,788,3379,-0.5818800097797329,-0.4116476335149594
13886,-0.07863506777231671,122,827,3482,0.7926731609870624,-0.4116476335149594
2352,-0.08693713339708253,122,788,3379,-0.5818800097797329,-0.508686416712963
22028,-0.0864784465821228,39,266,1060,-0.5818800097797329,-0.4116476335149594
12732,-0.07111297288098908,122,114,421,0.10539657560366476,0.07354628247505839
2592,0.1320351192805377,122,788,2546,0.7926731609870624,0.17058506567306195
