industry,total_funding,status,country,region,city,funding_rounds,company_age
12732,-0.08508752425675888,3,122,788,3379,-0.5818800097797329,-0.4116476335149594
23072,-0.0858144733604678,3,122,757,2527,-0.5818800097797329,0.36466263206906907
23072,-0.08319493327503341,3,122,663,2655,0.10539657560366476,-0.4116476335149594
8323,-0.07645897305534498,3,122,788,3379,0.10539657560366476,-0.508686416712963
11458,-0.08618869337267271,3,122,321,1287,-0.5818800097797329,-0.508686416712963
23156,-0.07645897305534498,3,122,746,1824,-0.5818800097797329,-0.31460885031695585
22664,-0.07645897305534498,3,122,631,2730,-0.5818800097797329,-0.6057251999109665
18268,-0.07645897305534498,3,38,716,2909,-0.5818800097797329,-0.4116476335149594
15057,-0.018187571154865717,0,122,788,3379,2.854502917137255,-0.21757006711895227
14802,-0.08661637338662118,3,122,788,3379,-0.5818800097797329,-0.6057251999109665
4895,0.0321984804884386,3,18,930,3893,3.5417795025206527,-0.12053128392094872
23072,0.05719103130355241,3,21,835,3510,0.7926731609870624,0.2676238488710655
8730,-0.07645897305534498,3,21,79,272,-0.5818800097797329,0.07354628247505839
22638,-0.0714965109714979,3,21,788,3379,-0.5818800097797329,-0.12053128392094872
14958,-0.03743317178254694,3,21,147,1819,0.7926731609870624,0.5587401984650762
16027,-0.07645897305534498,3,21,79,272,0.10539657560366476,0.6557789816630797
8823,-0.07645897305534498,3,21,835,3510,-0.5818800097797329,-0.21757006711895227
16027,0.260873637946512,3,21,79,272,1.4799497463704598,-0.31460885031695585
18726,-0.07913197314252292,3,21,79,272,0.10539657560366476,0.07354628247505839
23072,-0.06042097253227729,1,122,788,3379,-0.5818800097797329,-0.6057251999109665
3871,-0.07645897305534498,3,21,79,272,-0.5818800097797329,-0.508686416712963
21180,-0.07645897305534498,3,122,788,3379,-0.5818800097797329,0.4617014152670726
5461,-0.08589624043313457,3,28,627,2556,0.7926731609870624,-0.508686416712963
23072,-0.07645897305534498,3,122,558,4080,-0.5818800097797329,-0.12053128392094872
23072,-0.07111297288098908,3,122,788,3379,-0.5818800097797329,-0.31460885031695585
14958,0.9820490614671223,3,21,79,272,0.10539657560366476,-0.21757006711895227
22434,0.07322903182662009,0,21,360,1503,0.10539657560366476,0.2676238488710655
13235,4.600115059467705,2,21,147,685,2.854502917137255,0.2676238488710655
11656,1.516649078902712,3,122,788,3379,-0.5818800097797329,-0.6057251999109665
23259,-0.07645897305534498,3,122,788,3379,-0.5818800097797329,-0.4116476335149594
1727,-0.08700433998828762,1,122,788,3379,-0.5818800097797329,-0.70276398310897
